Accalathura,Accalathura crenulata
Addax,Addax nasomaculatus
Aega,Aega lecontii
Amakusanthura,Amakusanthura signata
Antarcturus,Antarcturus hirsutus
Apanthura,Apanthura stocki
Arcturus,Arcturus diversispinis
Austroniscus,Austroniscus groenlandicus
Batedotea,Batedotea elongata
Bathycopea,Bathycopea daltonae
Betamorpha,Betamorpha fusiformis
Caecianiropsis,Caecianiropsis psammophila
Caecognathia,Caecognathia crenulatifrons
Califanthura,Califanthura squamosissima
Camelus,Camelus bactrianus
Carpias,Carpias brachydactylus
Chelator,Chelator insignis
Chiridotea,Chiridotea nigrescens
Cleantioides,Cleantioides planicauda
Colidotea,Colidotea wallersteini
Crocodylus,Crocodylus moreletii
Dactylostylis,Dactylostylis serrata
Discerceis,Discerceis granulosa
Disconectes,Disconectes phalangium
Dynamene,Dynamene glabra
Dynamenella,Dynamenella conica
Edotia,Edotia sublittoralis
Elthusa,Elthusa vulgaris
Engidotea,Engidotea lobata
Erichsonella,Erichsonella isabelensis
Erimonax,Erimonax monachus
Euidotea,Euidotea peronii
Eurylana,Eurylana arcuata
Eusymmerus,Eusymmerus antennatus
Excirolana,Excirolana linguifrons
Excorallana,Excorallana truncata
Exosphaeroma,Exosphaeroma octoncum
Glyptidotea,Glyptidotea lichtensteini
Gnorimosphaeroma,Gnorimosphaeroma oregonense
Hansenium,Hansenium stebbingi
Haplomunna,Haplomunna caeca
Hawaianira,Hawaianira peleae
Heteroserolis,Heteroserolis carinata
Iais,Iais californica
Ianiropsis,Ianiropsis montereyensis
Ianthopsis,Ianthopsis caudata
Idotea,Idotea rufescens
Jaera,Jaera nordmanni
Janiralata,Janiralata davisi
Joeropsis,Joeropsis hawaiiensis
